`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 1, 'id': '5ad572b15b96ef001a10af0a', 'loss': 1.5052720308303833, 'grad_norm': 27.621013641357422, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 2, 'id': '56e1c720e3433e140042316c', 'loss': 0.0055476948618888855, 'grad_norm': 0.18305325508117676, 'input_tokens': 257, 'supervised_tokens': 9}
{'step': 3, 'id': '56e1c4fce3433e1400423152', 'loss': 6.7538604736328125, 'grad_norm': 91.11958312988281, 'input_tokens': 170, 'supervised_tokens': 3}
{'step': 4, 'id': '56e1bd4acd28a01900c67afd', 'loss': 0.21589848399162292, 'grad_norm': 18.789140701293945, 'input_tokens': 157, 'supervised_tokens': 7}
{'step': 5, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.598160445690155, 'grad_norm': 23.866548538208008, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 6, 'id': '5ad542db5b96ef001a10abf5', 'loss': 1.9602348804473877, 'grad_norm': 20.942636489868164, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 7, 'id': '56e1aba0e3433e1400423095', 'loss': 0.7288773059844971, 'grad_norm': 17.286897659301758, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 8, 'id': '56e1c4fce3433e140042314f', 'loss': 3.811675786972046, 'grad_norm': 62.398414611816406, 'input_tokens': 170, 'supervised_tokens': 3}
{'step': 9, 'id': '56e1b8f3e3433e14004230e8', 'loss': 2.322434663772583, 'grad_norm': 23.557634353637695, 'input_tokens': 136, 'supervised_tokens': 3}
{'step': 10, 'id': '56e1c9bfe3433e1400423196', 'loss': 1.286431074142456, 'grad_norm': 7.925468921661377, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 11, 'id': '56e1b169cd28a01900c67a74', 'loss': 0.3254122734069824, 'grad_norm': 6.273983955383301, 'input_tokens': 159, 'supervised_tokens': 5}
{'step': 12, 'id': '56e19557e3433e1400422fee', 'loss': 0.07570628821849823, 'grad_norm': 6.647904396057129, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 13, 'id': '5ad546c75b96ef001a10ac12', 'loss': 2.0434505939483643, 'grad_norm': 48.626956939697266, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 14, 'id': '56e190bce3433e1400422fcb', 'loss': 0.04252471402287483, 'grad_norm': 1.2921339273452759, 'input_tokens': 225, 'supervised_tokens': 3}
{'step': 15, 'id': '56e1aff7cd28a01900c67a69', 'loss': 1.3181939125061035, 'grad_norm': 26.357866287231445, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 16, 'id': '56e1bd4acd28a01900c67afc', 'loss': 0.019244613125920296, 'grad_norm': 0.5768875479698181, 'input_tokens': 159, 'supervised_tokens': 5}
{'step': 17, 'id': '56e1b355e3433e14004230b3', 'loss': 1.4819022417068481, 'grad_norm': 28.80501365661621, 'input_tokens': 190, 'supervised_tokens': 3}
{'step': 18, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 3.1096725463867188, 'grad_norm': 8.803959846496582, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 19, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.9562159180641174, 'grad_norm': 10.304709434509277, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 20, 'id': '56e1c2eee3433e1400423136', 'loss': 0.13810862600803375, 'grad_norm': 4.412317276000977, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 21, 'id': '56e1d9fee3433e14004231cc', 'loss': 0.321897029876709, 'grad_norm': 20.31269073486328, 'input_tokens': 275, 'supervised_tokens': 3}
{'step': 22, 'id': '56e1c9bfe3433e1400423195', 'loss': 0.6031991243362427, 'grad_norm': 8.12775707244873, 'input_tokens': 207, 'supervised_tokens': 8}
{'step': 23, 'id': '56e1b169cd28a01900c67a75', 'loss': 0.6924868822097778, 'grad_norm': 11.020289421081543, 'input_tokens': 166, 'supervised_tokens': 7}
