`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 1, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 3.0819389820098877, 'grad_norm': 11.604877471923828, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 2, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.14725099503993988, 'grad_norm': 11.39261531829834, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 3, 'id': '56e19557e3433e1400422fee', 'loss': 0.09331706911325455, 'grad_norm': 7.89343786239624, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 4, 'id': '56e1aff7cd28a01900c67a69', 'loss': 1.7250171899795532, 'grad_norm': 28.159893035888672, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 5, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 3.028876781463623, 'grad_norm': 18.582548141479492, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 6, 'id': '56e17644e3433e1400422f41', 'loss': 0.02064337208867073, 'grad_norm': 0.8120163679122925, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 7, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 1.675575613975525, 'grad_norm': 15.968488693237305, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 8, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 1.2149921655654907, 'grad_norm': 14.328888893127441, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 9, 'id': '5ad54f775b96ef001a10ac88', 'loss': 2.3912875652313232, 'grad_norm': 18.527170181274414, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 10, 'id': '56e1aba0e3433e1400423095', 'loss': 0.5968809723854065, 'grad_norm': 15.502741813659668, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 11, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.44704481959342957, 'grad_norm': 19.505451202392578, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 12, 'id': '56e1c720e3433e140042316a', 'loss': 0.5388668775558472, 'grad_norm': 7.988810062408447, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 13, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 1.3284181356430054, 'grad_norm': 18.73735237121582, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 14, 'id': '56e1c2eee3433e1400423136', 'loss': 0.1427612155675888, 'grad_norm': 5.395946025848389, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 15, 'id': '5ad546c75b96ef001a10ac12', 'loss': 1.0342611074447632, 'grad_norm': 25.38724136352539, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 16, 'id': '56e1c4fce3433e1400423151', 'loss': 0.8188206553459167, 'grad_norm': 16.224124908447266, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 17, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.9711789488792419, 'grad_norm': 9.350436210632324, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 18, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 2.6592836380004883, 'grad_norm': 15.073144912719727, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 19, 'id': '5ad542db5b96ef001a10abf5', 'loss': 1.2937276363372803, 'grad_norm': 28.847660064697266, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 20, 'id': '56e19557e3433e1400422ff1', 'loss': 1.0818989276885986, 'grad_norm': 8.506234169006348, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 21, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.3569158911705017, 'grad_norm': 18.29512596130371, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 22, 'id': '56e1c9bfe3433e1400423196', 'loss': 1.196071982383728, 'grad_norm': 8.291131973266602, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 23, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.061201490461826324, 'grad_norm': 10.017642974853516, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 24, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.07489444315433502, 'grad_norm': 8.709510803222656, 'input_tokens': 155, 'supervised_tokens': 5}
