`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 1, 'id': '56e1aff7cd28a01900c67a68', 'loss': 0.09742575138807297, 'grad_norm': 2.7189645767211914, 'input_tokens': 281, 'supervised_tokens': 6}
{'step': 2, 'id': '56e1b169cd28a01900c67a75', 'loss': 0.5799331068992615, 'grad_norm': 9.991083145141602, 'input_tokens': 166, 'supervised_tokens': 7}
{'step': 3, 'id': '56e17644e3433e1400422f40', 'loss': 0.27232375741004944, 'grad_norm': 5.180266857147217, 'input_tokens': 221, 'supervised_tokens': 9}
{'step': 4, 'id': '5ad56fe65b96ef001a10aec6', 'loss': 4.53095817565918, 'grad_norm': 12.747977256774902, 'input_tokens': 148, 'supervised_tokens': 5}
{'step': 5, 'id': '56e1a564cd28a01900c67a48', 'loss': 0.04929798096418381, 'grad_norm': 2.563471794128418, 'input_tokens': 205, 'supervised_tokens': 7}
{'step': 6, 'id': '5ad54f775b96ef001a10ac88', 'loss': 2.855431079864502, 'grad_norm': 16.001018524169922, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 7, 'id': '5ad53ac65b96ef001a10abad', 'loss': 3.2132163047790527, 'grad_norm': 9.758774757385254, 'input_tokens': 146, 'supervised_tokens': 5}
{'step': 8, 'id': '5ad5391e5b96ef001a10aba6', 'loss': 3.902657985687256, 'grad_norm': 9.058250427246094, 'input_tokens': 176, 'supervised_tokens': 5}
{'step': 9, 'id': '56e1c2eee3433e1400423134', 'loss': 1.9412685632705688, 'grad_norm': 26.13727378845215, 'input_tokens': 242, 'supervised_tokens': 5}
{'step': 10, 'id': '5ad561c85b96ef001a10ad3f', 'loss': 2.3334598541259766, 'grad_norm': 19.906417846679688, 'input_tokens': 256, 'supervised_tokens': 5}
{'step': 11, 'id': '5ad565575b96ef001a10adb3', 'loss': 1.3796823024749756, 'grad_norm': 10.452261924743652, 'input_tokens': 205, 'supervised_tokens': 5}
{'step': 12, 'id': '56e1d9fee3433e14004231ce', 'loss': 1.4599065780639648, 'grad_norm': 33.23346710205078, 'input_tokens': 281, 'supervised_tokens': 3}
