`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 1, 'id': '56e19557e3433e1400422fee', 'loss': 1.9472370147705078, 'grad_norm': 38.04996871948242, 'input_tokens': 162, 'supervised_tokens': 4}
{'step': 2, 'id': '5ad54a375b96ef001a10ac49', 'loss': 2.105440139770508, 'grad_norm': 14.08539867401123, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 3, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.13890095055103302, 'grad_norm': 8.036137580871582, 'input_tokens': 288, 'supervised_tokens': 7}
{'step': 4, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.3380216956138611, 'grad_norm': 3.233768939971924, 'input_tokens': 190, 'supervised_tokens': 28}
{'step': 5, 'id': '56e1e9dfe3433e14004231fe', 'loss': 1.290371060371399, 'grad_norm': 11.324137687683105, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 6, 'id': '56e17644e3433e1400422f41', 'loss': 0.6311728358268738, 'grad_norm': 14.275392532348633, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 7, 'id': '56e1aba0e3433e1400423095', 'loss': 2.8283779621124268, 'grad_norm': 14.763108253479004, 'input_tokens': 284, 'supervised_tokens': 5}
{'step': 8, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.11183682829141617, 'grad_norm': 5.225353717803955, 'input_tokens': 206, 'supervised_tokens': 7}
{'step': 9, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.3846045732498169, 'grad_norm': 6.716917991638184, 'input_tokens': 310, 'supervised_tokens': 36}
{'step': 10, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 1.2175332307815552, 'grad_norm': 45.892005920410156, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 11, 'id': '56e1ce08e3433e14004231a5', 'loss': 1.42416512966156, 'grad_norm': 12.292031288146973, 'input_tokens': 205, 'supervised_tokens': 5}
{'step': 12, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 1.587724208831787, 'grad_norm': 20.136219024658203, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 13, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 2.9703409671783447, 'grad_norm': 10.732685089111328, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 14, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.5872104167938232, 'grad_norm': 11.03443717956543, 'input_tokens': 279, 'supervised_tokens': 6}
{'step': 15, 'id': '56e1c2eee3433e1400423136', 'loss': 0.2504792809486389, 'grad_norm': 7.832447528839111, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 16, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.4750330448150635, 'grad_norm': 12.825163841247559, 'input_tokens': 160, 'supervised_tokens': 7}
{'step': 17, 'id': '56e19557e3433e1400422ff1', 'loss': 2.619755268096924, 'grad_norm': 17.125246047973633, 'input_tokens': 166, 'supervised_tokens': 5}
{'step': 18, 'id': '56e1c9bfe3433e1400423196', 'loss': 3.2948172092437744, 'grad_norm': 20.616689682006836, 'input_tokens': 202, 'supervised_tokens': 4}
{'step': 19, 'id': '56e1c720e3433e140042316a', 'loss': 0.7149264216423035, 'grad_norm': 10.398517608642578, 'input_tokens': 265, 'supervised_tokens': 7}
{'step': 20, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.8853758573532104, 'grad_norm': 17.873226165771484, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 21, 'id': '56e1c4fce3433e1400423151', 'loss': 0.5688213109970093, 'grad_norm': 16.9865665435791, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 22, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 1.6591479778289795, 'grad_norm': 47.4593620300293, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 23, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.3198776841163635, 'grad_norm': 23.409061431884766, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 24, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.21111652255058289, 'grad_norm': 17.0080623626709, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 25, 'id': '56e19557e3433e1400422fee', 'loss': 0.9375463724136353, 'grad_norm': 21.19155502319336, 'input_tokens': 162, 'supervised_tokens': 4}
{'step': 26, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.016192326322197914, 'grad_norm': 1.5675185918807983, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 27, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.12705525755882263, 'grad_norm': 9.0654878616333, 'input_tokens': 288, 'supervised_tokens': 7}
{'step': 28, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.2021031677722931, 'grad_norm': 4.588320732116699, 'input_tokens': 190, 'supervised_tokens': 28}
{'step': 29, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.04708888754248619, 'grad_norm': 4.15539026260376, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 30, 'id': '56e17644e3433e1400422f41', 'loss': 0.1369955837726593, 'grad_norm': 6.114973545074463, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 31, 'id': '56e1aba0e3433e1400423095', 'loss': 1.2611894607543945, 'grad_norm': 31.158214569091797, 'input_tokens': 284, 'supervised_tokens': 5}
{'step': 32, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.5111640095710754, 'grad_norm': 20.642797470092773, 'input_tokens': 206, 'supervised_tokens': 7}
{'step': 33, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.607706606388092, 'grad_norm': 6.939961910247803, 'input_tokens': 310, 'supervised_tokens': 36}
{'step': 34, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 2.83035945892334, 'grad_norm': 54.77809143066406, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 35, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.009229733608663082, 'grad_norm': 0.33893799781799316, 'input_tokens': 205, 'supervised_tokens': 5}
{'step': 36, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.008477570489048958, 'grad_norm': 0.29733821749687195, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 37, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.02254333905875683, 'grad_norm': 2.2855398654937744, 'input_tokens': 202, 'supervised_tokens': 5}
