`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 1, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.8454526662826538, 'grad_norm': 18.849552154541016, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 2, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 1.1622084379196167, 'grad_norm': 14.45411205291748, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 3, 'id': '56e19557e3433e1400422fee', 'loss': 1.8255717754364014, 'grad_norm': 30.594066619873047, 'input_tokens': 162, 'supervised_tokens': 4}
{'step': 4, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.686082661151886, 'grad_norm': 11.392965316772461, 'input_tokens': 279, 'supervised_tokens': 6}
{'step': 5, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 3.091801166534424, 'grad_norm': 16.923357009887695, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 6, 'id': '56e17644e3433e1400422f41', 'loss': 0.48702144622802734, 'grad_norm': 11.751214027404785, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 7, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.13526706397533417, 'grad_norm': 7.07769775390625, 'input_tokens': 288, 'supervised_tokens': 7}
{'step': 8, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 1.4245463609695435, 'grad_norm': 11.505566596984863, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 9, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.5490595102310181, 'grad_norm': 12.78437328338623, 'input_tokens': 160, 'supervised_tokens': 7}
{'step': 10, 'id': '56e1aba0e3433e1400423095', 'loss': 2.778690814971924, 'grad_norm': 13.770496368408203, 'input_tokens': 284, 'supervised_tokens': 5}
{'step': 11, 'id': '56e1e9dfe3433e14004231fe', 'loss': 1.2907249927520752, 'grad_norm': 14.370018005371094, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 12, 'id': '56e1c720e3433e140042316a', 'loss': 0.8681827187538147, 'grad_norm': 10.290253639221191, 'input_tokens': 265, 'supervised_tokens': 7}
{'step': 13, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.34031909704208374, 'grad_norm': 3.21309494972229, 'input_tokens': 190, 'supervised_tokens': 28}
{'step': 14, 'id': '56e1c2eee3433e1400423136', 'loss': 0.2656194567680359, 'grad_norm': 7.889362335205078, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 15, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.35922321677207947, 'grad_norm': 5.006342887878418, 'input_tokens': 310, 'supervised_tokens': 36}
{'step': 16, 'id': '56e1c4fce3433e1400423151', 'loss': 0.5317894816398621, 'grad_norm': 16.713912963867188, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 17, 'id': '56e1ce08e3433e14004231a5', 'loss': 1.455870509147644, 'grad_norm': 11.153239250183105, 'input_tokens': 205, 'supervised_tokens': 5}
{'step': 18, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 2.8903985023498535, 'grad_norm': 10.317828178405762, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 19, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.16337119042873383, 'grad_norm': 6.882530689239502, 'input_tokens': 206, 'supervised_tokens': 7}
{'step': 20, 'id': '56e19557e3433e1400422ff1', 'loss': 2.6143808364868164, 'grad_norm': 15.742215156555176, 'input_tokens': 166, 'supervised_tokens': 5}
